time,cuahsi-wdc-2016-05-05-55046159
1.4412636e+12,39.57
1.44135e+12,39.58
1.4414364e+12,39.57
1.4415228e+12,39.89
1.4416092e+12,39.9
1.4416956e+12,39.94
1.441782e+12,39.94
1.4418684e+12,40.05
1.4419548e+12,40.14
1.4420412e+12,40.24
1.4421276e+12,40.25
1.442214e+12,40.18
1.4423004e+12,40.05
1.4423868e+12,40.0
1.4424732e+12,39.87
1.4425596e+12,39.79
1.442646e+12,39.64
1.4427324e+12,39.57
1.4428188e+12,39.46
1.4429052e+12,39.32
1.4429916e+12,39.19
1.443078e+12,39.53
1.4431644e+12,39.34
1.4432508e+12,39.0
1.4433372e+12,38.8
1.4434236e+12,38.67
1.44351e+12,38.61
1.4435964e+12,38.45
1.4436828e+12,38.49
1.4437692e+12,38.46
1.4438556e+12,38.2
1.443942e+12,37.93
1.4440284e+12,37.76
1.4441148e+12,37.58
1.4442012e+12,37.44
1.4442876e+12,37.32
1.444374e+12,37.23
1.4444604e+12,37.11
1.4445468e+12,37.01
1.4446332e+12,36.94
1.4447196e+12,36.81
1.444806e+12,36.76
1.4448924e+12,36.7
1.4449788e+12,36.65
1.4450652e+12,36.54
1.4451516e+12,36.4
1.445238e+12,36.29
1.4453244e+12,36.2
1.4454108e+12,36.03
1.4454972e+12,35.87
1.4455836e+12,35.78
1.44567e+12,35.71
1.4457564e+12,35.61
1.4458428e+12,35.51
1.4459292e+12,35.46
1.4460156e+12,35.34
1.446102e+12,35.27
1.4461884e+12,35.19
1.4462748e+12,35.11
1.4463612e+12,35.0
1.4464476e+12,34.82
1.446534e+12,34.78
1.4466204e+12,34.6
1.4467068e+12,34.95
1.4467932e+12,34.99
1.4468796e+12,34.98
1.446966e+12,34.89
1.4470524e+12,34.78
1.4471388e+12,34.71
1.4472252e+12,34.72
1.4473116e+12,34.75
1.447398e+12,34.74
1.4474844e+12,34.68
1.4475708e+12,34.56
1.4476572e+12,34.48
1.4477436e+12,34.53
1.44783e+12,34.39
1.4479164e+12,34.61
1.4480028e+12,34.6
1.4480892e+12,34.62
1.4481756e+12,34.57
1.448262e+12,34.46
1.4483484e+12,34.37
1.4484348e+12,34.28
1.4485212e+12,34.3
1.4486076e+12,34.33
1.448694e+12,34.32
1.4487804e+12,34.31
1.4488668e+12,34.3
1.4489532e+12,34.3
1.4490396e+12,34.32
1.449126e+12,34.27
1.4492124e+12,34.22
1.4492988e+12,34.23
1.4493852e+12,34.26
1.4494716e+12,34.21
1.449558e+12,34.21
1.4496444e+12,34.12
1.4497308e+12,34.01
1.4498172e+12,33.95
1.4499036e+12,33.95
1.44999e+12,33.87
1.4500764e+12,33.8
1.4501628e+12,33.8
1.4502492e+12,33.87
1.4503356e+12,33.91
1.450422e+12,33.94
1.4505084e+12,33.92
1.4505948e+12,34.24
1.4506812e+12,34.16
1.4507676e+12,34.02
1.450854e+12,34.0
1.4509404e+12,34.03
1.4510268e+12,33.99
1.4511132e+12,34.02
1.4511996e+12,34.07
1.451286e+12,33.94
1.4513724e+12,33.92
1.4514588e+12,33.92
1.4515452e+12,33.92
1.4516316e+12,33.95
1.451718e+12,33.92
1.4518044e+12,33.91
1.4518908e+12,33.77
1.4519772e+12,33.71
1.4520636e+12,33.48
1.45215e+12,33.66
1.4522364e+12,33.66
1.4523228e+12,33.7
1.4524092e+12,33.77
